Кандзи,Кана,Перевод,Уровень
真面目,まじめ,серьезный,4
先ず,まず,прежде всего、в целом,4
又は,または,или же、либо,4
間違える,まちがえる,ошибаться、перепутать,4
間に合う,まにあう,успеть、годиться,4
,まま,так、как есть,4
回り・周り,まわり,окрестности、окружность、вращение,4
回る・周る,まわる,вертеться、вращаться、объезжать,4
漫画,まんが,комикс、карикатура,4
真ん中,まんなか,центр、середина,4
見える,みえる,виднеться、выглядеть,4
湖,みずうみ,озеро,4
味噌(汁),みそ(しる),мисо (паста из соевых бобов),4
見付かる,みつかる,быть замеченным、найденным、попасться,4
見付ける,みつける,обнаруживать,4
緑,みどり,зелень、растительность,4
皆,みな,все、всё,4
港,みなと,порт、гавань,4
迎える,むかえる,встречать、выходить навстречу,4
昔,むかし,старина、прошлое,4
虫,むし,насекомое,4
息子,むすこ,сын,4
娘,むすめ,дочь、девушка,4
村,むら,деревня,4
無理,むり,невозможно、нельзя、необоснованность,4
目,め,сч. суф. порядковых числительных,4
召し上がる,めしあがる,кушать、пить (вежл. о 2-3 лице),4
珍しい,めずらしい,редкий、необычный、оригинальный,4
申し上げる,もうしあげる,говорить (скромно о себе),4
申す,もうす,говорить、называться,4
もう直ぐ,もうすぐ,вот-вот、скоро,4
もう一つ,もうひとつ,еще один,4
若し,もし,если,4
戻る,もどる,возвращаться,4
木綿,もめん,хлопчатобумажная ткань,4
貰う,もらう,получать、брать,4
焼く,やく,жечь、сжигать、обжигать、ревновать,4
約束（する）,やくそく,обещание、договоренность,4
役に立つ,やくにたつ,полезный、пригодиться,4
焼ける,やける,гореть、сгорать、выгорать (о цвете)、ревновать,4
優しい,やさしい,добрый、ласковый、нежный,4
易い,やすい,легко…,4
痩せる,やせる,худеть、истощаться,4
,やっと,наконец-то,4
矢張り・矢っ張り,やはり・やっぱり,всё-таки、всё же、всё равно、также、тоже,4
止む,やむ,кончаться、переставать,4
止める,やめる,прекращать、переставать、оставлять (службу),4
遣る,やる,давать,4
軟らかい,やわらかい,мягкий、нежный,4
湯,ゆ,горячая вода、горячий источник、ванна、баня,4
夕飯,ゆうはん,ужин,4
輸出,ゆしゅつ,экспорт、вывоз,4
指,ゆび,палец,4
指輪,ゆびわ,кольцо、перстень,4
夢,ゆめ,сон、мечта,4
揺れる,ゆれる,качаться、колебаться,4
用,よう,дело、необходимость、применение,4
用意（する）,ようい（する）,готовность、подготовка、приготовление,4
用事,ようじ,дело、дела,4
汚れる,よごれる,пачкаться、загрязняться,4
予習,よしゅう,подготовка уроков,4
予定,よてい,план、расписание、намётка、предварительный расчёт,4
予約,よやく,договорённость、заказ、бронирование、подписка,4
寄る,よる,приближаться、подходить、заходить、собираться,4
喜ぶ,よろこぶ,радоваться,4
宜しい,よろしい,хороший,4
弱い,よわい,слабый,4
理由,りゆう,причина、мотив、повод,4
利用(する),りよう,использование、применение,4
両方,りょうほう,оба、обе стороны,4
旅館,りょかん,гостиница в японском стиле,4
留守,るす,отсутствие、пребывание вне дома,4
歴史,れきし,история,4
連絡（する）,れんらく,связь、контакт、коммуникация,4
沸かす,わかす,кипятить、будоражить、волновать,4
別れる,わかれる,отделяться,4
沸く,わく,кипеть、бурлить、плавиться、расплавляться,4
訳,わけ,смысл、значение、суть、причина,4
忘れ物,わすれもの,забытая вещь,4
笑う,わらう,смеяться,4
割合,わりあい,соотношение,4
割合に,わりあいに,сравнительно、относительно,4
割れる,われる,разбиваться、трескаться、делиться на…,4
,あっ,Ах! Ох!,3
愛,あい,любовь,3
愛情,あいじょう,любовь、привязанность,3
合図,あいず,сигнал、знак,3
,アイスクリーム,мороженное,3
愛する,あいする,любить,3
相手,あいて,партнёр、собеседник、компаньон、оппонент,3
,あいにく,к сожалению、к несчастью、жаль,3
,アイロン,утюг,3
,アウト,аут、вне,3
明かり,あかり,свет、освещение、лампа,3
空き,あき,пустой промежуток、свободное место、отверстие,3
明らか,あきらか,очевидный、явный、понятный,3
諦める,あきらめる,махнуть рукой、отказаться,3
飽きる,あきる,приедаться、наскучивать、терять интерес,3
握手,あくしゅ,рукопожатие,3
悪魔,あくま,злой дух、демон、дьявол,3
明ける,あける,светать、рассветать、открывать,3
預ける,あずける,давать на хранение、класть на депозит,3
汗,あせ,пот,3
与える,あたえる,давать、присуждать、награждать,3
辺り,あたり,рядом、поблизости,3
当たる,あたる,попадать、ударяться、иметь успех、соответствовать,3
,あちこち,тут и там、там и сям、повсюду,3
扱う,あつかう,пользоваться、работать (инструментом)、обращаться с ч-л,3
集まり,あつまり,собрание、встреча、сбор (налога),3
当てる,あてる,попадать、прикладывать、угадывать、попадать в самую точку,3
跡,あと,след、следы、отпечаток、развалины、рубец,3
穴,あな,дыра、отверстие,3
浴びる,あびる,принимать ванну、душ、обливаться,3
油,あぶら,масло,3
余り,あまり,излишек、остаток、не очень (с отриц.),3
誤り,あやまり,ошибка、оплошность,3
粗,あら,грубый、приблизительный、недостаток、отбросы,3
嵐,あらし,буря、шторм,3
新た,あらた,новый、свежий,3
,あらゆる,всевозможные、всяческие、все,3
表す,あらわす,выражать、показывать,3
現す,あらわす,проявлять、выказывать、обнаруживать,3
現れ,あらわれ,проявление、выражение,3
現れる,あらわれる,проявляться、показываться、выявляться,3
有る,ある,быть、существовать、иметься (для неодушевленных),3
或,ある,некий、некоторый、какой-то,3
或は,あるいは,или、либо、возможно,3
,アルバム,альбом,3
泡,あわ,пузырь、пена,3
合わせる,あわせる,соединять、согласовывать,3
哀れ,あわれ,печаль、сострадание,3
案,あん,план、проект、идея,3
暗記,あんき,заучивание наизусть,3
安定,あんてい,равновесие、стабильность、устойчивость,3
案内,あんない,информация、гид、проводник,3
,あんなに,так、настолько,3
,あんまり,остаток、не очень (с отриц.),3
胃,い,желудок,3
委員,いいん,член комитета,3
意外,いがい,неожиданный、непредвиденный,3
行き,いき・ゆき,направляющийся в,3
息,いき,дыхание,3
勢い,いきおい,сила、мощь、энергия,3
生き物,いきもの,живое существо、животное,3
幾つ,いくつ,как много? сколько лет?,3
幾ら,いくら,сколько стоит?,3
,いけない,нельзя、не следует、плохой、неправильный,3
医師,いし,доктор、врач,3
意思,いし,намерение、цель,3
意志,いし,воля、стремление,3
維持,いじ,поддержание、сохранение,3
意識,いしき,сознание、осознание,3
異常,いじょう,странность、необычный、экстраординарный,3
泉,いずみ,источник、родник,3
,いずれ,который、какой,3
以前,いぜん,до、раньше、перед,3
板,いた,доска、плита,3
偉大,いだい,величие、великий,3
抱く,いだく,обнимать、держать в руках,3
悪戯,いたずら,шалость、озорство,3
,いただきます,приятного аппетита (перед едой),3
頂く,いただく,получать、принимать、есть и пить (скромно),3
痛み,いたみ,боль、повреждение,3
至る,いたる,доходить、достигать,3
市,いち,рынок、базар,3
位置,いち,место、расположение、координаты,3
一時,いちじ,час、некоторое время、временный,3
一度に,いちどに,одновременно、сразу,3
市場,いちば・しじょう,рынок,3
,いつか,когда-нибудь,3
一家,いっか,дом、семья,3
一種,いっしゅ,разновидность、вид、сорт,3
一瞬,いっしゅん,мгновение、момент,3
一生,いっしょう,вся жизнь,3
一層,いっそう,еще больше,3
一体,いったい,одно целое、тело、собственно говоря、на самом деле,3
一致,いっち,согласие、совпадение、единство,3
何時でも,いつでも,в любое время、всегда、все время,3
一般,いっぱん,обыкновенный、общепринятый、обычный,3
一方,いっぽう,одна сторона、другая сторона,3
何時までも,いつまでも,навсегда、сколько угодно,3
何時も,いつも,всегда、обычно、все время、никогда с отрицанием,3
移動,いどう,движение、перемещение,3
従兄弟・従姉妹,いとこ,двоюродный брат、двоюродная сестра,3
稲,いね,рис (на корню),3
居眠り,いねむり,дремота,3
命,いのち,жизнь,3
違反,いはん,нарушение,3
衣服,いふく,одежда,3
居間,いま,гостиная,3
今に,いまに,сейчас、сию минуту、все ещё,3
今にも,いまにも,в любой момент,3
否,いや・いいえ・いな,нет,3
以来,いらい,со времени (чего-то)、с тех пор、после,3
依頼,いらい,просьба、поручение、поручать、доверять,3
苛々,いらいら,раздражаться、нервничать,3
,いらっしゃい,Добро пожаловать!,3
医療,いりょう,лечение,3
岩,いわ,скала、риф,3
祝い,いわい,поздравление、празднование,3
祝う,いわう,поздравлять、праздновать,3
言わば,いわば,так сказать、одним словом,3
所謂,いわゆる,так называемый,3
,インク,чернила,3
印刷,いんさつ,печатание、печатать,3
印象,いんしょう,впечатление,3
引退,いんたい,отставка、уход,3
引用,いんよう,цитата、цитировать,3
,ウイスキー,виски,3
上,うわ,верхний、наружный,3
魚,うお,рыба,3
,うがい,полоскание рта、горла,3
伺う,うかがう,посещать、навешать、спрашивать (скромно),3
受け取る,うけとる,получать、принимать,3
動かす,うごかす,двигать、приводить в движение,3
兎,うさぎ,заяц、кролик,3
牛,うし,бык、корова、крупный рогатый скот,3
失う,うしなう,терять、утратить,3
疑う,うたがう,сомневаться、не доверять、подозревать,3
宇宙,うちゅう,космос、вселенная,3
撃つ,うつ,бить、ударять、нападать、разрушать,3
移す,うつす,перемещать、переносить、заражать,3
訴える,うったえる,жаловаться、обращаться、прибегать,3
,うなる,стонать、рычать、выть,3
奪う,うばう,отнимать、захватывать、овладевать,3
馬,うま,лошадь、конь,3
生まれ,うまれ,рождение、место рождение,3
梅,うめ,слива (японская),3
裏切る,うらぎる,предавать、изменять、обманывать,3
売れる,うれる,продаваться,3
噂,うわさ,слухи、молва,3
運,うん,судьба、участь,3
柄,え,ручка、рукоятка,3
永遠,えいえん,вечность,3
永久,えいきゅう,вечность,3
影響,えいきょう,влияние、воздействие,3
営業,えいぎょう,бизнес、предприятие、работать (о магазине),3
衛星,えいせい,спутник (астрономия),3
栄養,えいよう,питание,3
笑顔,えがお,улыбающееся лицо、улыбка,3
描く,えがく,рисовать、чертить、обрисовывать,3
餌,えさ,корм、приманка,3
,エネルギー,энергия,3
得る,うる・える,получать、добывать、мочь,3
延期,えんき,отсрочка、пролонгация,3
演技,えんぎ,игра、исполнение,3
援助,えんじょ,помощь、поддержка,3
,エンジン,двигатель、мотор,3
演説,えんぜつ,речь、выступление,3
演奏,えんそう,музыкальное выступление、исполнение,3
老い,おい,старость、старик,3
追い付く,おいつく,догонять、настигать,3
王,おう,король、монарх,3
追う,おう,гнать、выгонять、преследовать,3
王様,おうさま,король,3
王子,おうじ,принц,3
応じる,おうじる,откликаться、соглашаться、соответствовать,3
横断,おうだん,пересечение、переход,3
終える,おえる,заканчивать、завершать,3
大いに,おおいに,очень、весьма、в значительной степени,3
覆う,おおう,покрывать、заслонять、скрывать,3
大家,おおや,домовладелец、арендодатель,3
丘,おか,холм、возвышенность,3
沖,おき,открытое море,3
奥,おく,внутренняя часть,3
贈る,おくる,преподносить、дарить、награждать、присваивать,3
起こる,おこる,случаться、происходить,3
幼い,おさない,младенческий、детский、неопытный,3
収める,おさめる,получать、приобретать、собирать、вносить、уплачивать,3
,おじいさん,дедушка、пожилой человек,3
,おしゃべり,болтовня、пустословие,3
汚染,おせん,пятно、грязь、пачкать загрязнять,3
,おそらく,пожалуй、вероятно,3
恐れる,おそれる,бояться、опасаться,3
恐ろしい,おそろしい,страшный、ужасный,3
お互い,おたがい,взаимный、обоюдный,3
穏やか,おだやか,спокойный、тихий、умеренный,3
劣る,おとる,быть хуже、уступать,3
鬼,おに,чёрт、демон、энтузиаст,3
帯,おび,пояс (широкий японский),3
お昼,おひる,обед、полдень,3
,オフィス,офис,3
溺れる,おぼれる,тонуть、быть погруженным (увлеченным),3
お前,おまえ,ты (грубо),3
,おめでとう,поздравляю!,3
お目に掛かる,おめにかかる,(скромно) видеть、встречаться с к-л,3
思い出,おもいで,воспоминания,3
主に,おもに,главным образом、в основном,3
思わず,おもわず,невольно、нечаянно,3
親,おや,родители,3
泳ぎ,およぎ,плавание,3
,およそ,в общем、приблизительно,3
及ぼす,およぼす,распространять、оказывать (влияние)、причинять (беспокойство),3
居る,おる,быть、находиться (скромно для одушевленных),3
下ろす,おろす,опускать、спускать、снимать、давать сойти、помочь выйти,3
恩,おん,благодеяние、одолжение,3
温暖,おんだん,тепло、теплый,3
温度,おんど,температура,3
可,か,удовлетворительно (оценка),3
課,か,урок、сч. суф. разделов (в книгах),3
,カー,машина,3
会,かい,заседание、собрание、общество,3
回,かい,сч. суф. раз,3
害,がい,вред、ущерб,3
会員,かいいん,членство、член (клуба),3
絵画,かいが,картина、рисунок,3
海外,かいがい,заграница、иностранный,3
会計,かいけい,счёт、расчёт、бухгалтерия,3
解決,かいけつ,решение、урегулирование (вопроса、конфликта),3
会合,かいごう,встреча、сбор、свидание,3
外交,がいこう,дипломатия,3
開始,かいし,начало、открытие,3
解釈,かいしゃく,толкование、интерпретация、комментарий (к тексту),3
外出,がいしゅつ,выход из дома、отлучка,3
改善,かいぜん,улучшение、усовершенствование,3
快適,かいてき,приятный、удобный,3
回復,かいふく,восстановление、выздоровление,3
飼う,かう,кормить、держать、выкармливать (животных),3
替える・換える,かえる,менять、заменять、обменивать、конвертировать,3
香り,かおり,запах、аромат,3
画家,がか,художник、живописец,3
抱える,かかえる,держать в руках、обхватить руками、нести、иметь на руках,3
価格,かかく,цена、стоимость,3
化学,かがく,химия,3
輝く,かがやく,сверкать、блистать、сиять,3
係,かかり,обязанности、ответственное лицо,3
掛かる,かかる,требоваться (время、деньги)、висеть、цепляться,3
罹る,かかる,заболеть чем-л、заразиться чем-л、страдать,3
限る,かぎる,ограничивать(ся)、устанавливать,3
描く,かく,рисовать、чертить,3
家具,かぐ,мебель,3
学,がく,учение、знание、наука,3
額,がく,сумма、количество、картина в раме,3
覚悟,かくご,готовность、решимость,3
確実,かくじつ,надёжность、достоверность、несомненный факт,3
学者,がくしゃ,учёный、образованный человек,3
学習,がくしゅう,учеба、изучение,3
隠す,かくす,прятать、скрывать,3
拡大,かくだい,увеличение、расширение、эскалация (воен.),3
確認,かくにん,подтверждение、признание,3
学問,がくもん,учение、занятие、образование,3
隠れる,かくれる,прятаться、скрываться、удалиться (от дел),3
影,かげ,тень、силуэт、отражение,3
陰,かげ,тень、полумрак、оборотная сторона、недоступное взгляду место,3
欠ける,かける,недоставать、не хватать、быть отломанным、отколоться,3
加減,かげん,сложение и вычитание、регулирование、принимать во внимание,3
過去,かこ,прошлое,3
籠,かご,корзина、клетка,3
囲む,かこむ,окружать、брать в кольцо,3
火災,かさい,пожар,3
貸し,かし,прокат、ссуда、долг,3
家事,かじ,домашние дела、семейные обстоятельства,3
賢い,かしこい,умный、мудрый、сообразительный,3
歌手,かしゅ,певец、певица,3
数,かず,число、количество,3
稼ぐ,かせぐ,работать、зарабатывать,3
数える,かぞえる,считать、подсчитывать,3
型,かた,тип、форма、модель、шаблон,3
肩,かた,плечо,3
硬い,かたい,твердый、жесткий,3
方々,かたがた,(вежл.) господа,3
刀,かたな,катана、самурайский меч,3
語る,かたる,говорить、рассказывать,3
勝ち,かち,победа,3
価値,かち,ценность、стоимость,3
,がっかり,падать духом、унывать、вымотаться,3
活気,かっき,оживление、одушевление、подъем,3
学期,がっき,семестр,3
活動,かつどう,деятельность、активность,3
活用,かつよう,практическое применение (использование)、(грам.) спряжение,3
悲しむ,かなしむ,грустить、печалиться、горевать,3
必ずしも,かならずしも,(с отриц.) не всегда、не обязательно,3
,かなり,довольно、изрядно、порядочно、прилично,3
可能,かのう,возможность、возможный,3
株,かぶ,пень、корень、(перен.) основа、акция、пай,3
被る,かぶる,надевать на голову、быть облитым、брать вину на себя,3
構う,かまう,беспокоиться、обращать внимание、заботиться,3
我慢,がまん,терпение,3
上,かみ,верх、верхушка、верхи、власти,3
神,かみ,Бог,3
雷,かみなり,гром,3
髪の毛,かみのけ,волосы на голове,3
科目,かもく,предмет、учебный курс,3
かも知れない,かもしれない,может быть,3
火曜,かよう,(сокр.) вторник,3
空,から,пустота、вакуум,3
空の,からの,пустой、полый、порожний,3
柄,がら,узор、рисунок、телосложение、характер,3
刈る,かる,стричь、подрезать、косить、жать,3
皮,かわ,кожа、шкура、кожура、скорлупа,3
革,かわ,кожа (выделанная),3
可哀相,かわいそう,бедный、жалкий、несчастный,3
可愛らしい,かわいらしい,миловидный、хорошенький、крошечный,3
缶,かん,жестяная банка、бидон,3
勘,かん,интуиция、инстинкт、чутьё,3
考え,かんがえ,мысль、идея、мнение、намерение,3
感覚,かんかく,ощущение、чувство (зрение、слух етк),3
観客,かんきゃく,зритель、наблюдатель、аудитория,3
環境,かんきょう,окружающая среда、окружение,3
歓迎,かんげい,радушный приём,3
観光,かんこう,туризм、экскурсия、турпоездка,3
観察,かんさつ,наблюдение,3
感じ,かんじ,чувство、ощущение、впечатление,3
感謝,かんしゃ,благодарность、признательность,3
患者,かんじゃ,пациент,3
勘定,かんじょう,счёт、расчёт、уплата по счету、счета、ведение счетов,3
感情,かんじょう,эмоция、чувство,3
感じる,かんじる,чувствовать、ощущать、быть тронутым,3
感心,かんしん,восхищение、восторг,3
関心,かんしん,интерес、заинтересованность,3
関する,かんする,иметь отношение、касаться、ставить под угрозу,3
完成,かんせい,завершение、окончание,3
完全,かんぜん,совершенство、полностью,3
感動,かんどう,волнение、впечатление、быть тронутым,3
監督,かんとく,надзор、инспекция、контролер、режиссер,3
管理,かんり,управление、заведование、контроль,3
完了,かんりょう,завершение、окончание,3
関連,かんれん,связь、отношение,3
議員,ぎいん,член парламента или конгресса,3
記憶,きおく,память、воспоминание,3
気温,きおん,температура (воздуха),3
議会,ぎかい,парламент、конгресс,3
期間,きかん,период、срок、продолжительность,3
機関,きかん,машина、мотор、двигатель、инструмент、аппарат,3
企業,きぎょう,предприятие (коммерческое、промышленное етк),3
効く,きく,быть эффективным,3
機嫌,きげん,состояние здоровья、самочувствие、настроение,3
気候,きこう,климат、погода,3
岸,きし,берег,3
生地,せいち,место рождения,3
生地,きじ,материал、ткань、природные качества,3
記事,きじ,статья、заметка、репортаж、рассказ,3
技師,ぎし,инженер,3
記者,きしゃ,журналист、корреспондент,3
傷,きず,рана、травма、изъян、повреждение,3
期待,きたい,ожидания、надежды,3
帰宅,きたく,возвращение домой,3
貴重,きちょう,драгоценный、почетный,3
議長,ぎちょう,председатель、спикер,3
,きちんと,аккуратно、тщательно、точно、пунктуально,3
,きつい,сильный、храбрый、строгий、тесный、напряженный、крутой,3
気付く,きづく,обращать внимания、замечать、обнаруживать,3
気に入る,きにいる,нравиться、быть по душе,3
記入,きにゅう,запись、заполнение、внесение (в список),3
記念,きねん,воспоминания、память,3
機能,きのう,функция、способность,3
気の毒,きのどく,бедный、несчастный、достойный сожаления,3
寄付,きふ,взнос、пожертвование,3
希望,きぼう,надежда、желание,3
基本,きほん,основа、база、фундамент、стандарт,3
決まり,きまり,решение、договоренность、порядок、правило,3
気味,きみ,чувство、ощущение、впечатление、признак,3
奇妙,きみょう,странный、необычный、удивительный,3
義務,ぎむ,долг、обязанность、обязательство,3
疑問,ぎもん,вопрос、сомнение,3
逆,ぎゃく,противоположный、обратный,3
,キャプテン,капитан,3
,キャンプ,лагерь,3
旧,きゅう,старое、прошлое、старый друг、старый стиль、бывший、экс-,3
級,きゅう,класс、курс、разряд、ранг、ступень,3
球,きゅう,сфера、сч. суф. для мячей (бейсбол)、ламп,3
休暇,きゅうか,каникулы、отпуск,3
休憩,きゅうけい,отдых、перемена、перерыв、антракт,3
急激,きゅうげき,резкий、быстрый、стремительный、внезапный、крутой,3
吸収,きゅうしゅう,всасывание、впитывание、усвоение、восприятие,3
救助,きゅうじょ,спасение、помощь、содействие,3
急速,きゅうそく,быстрый、скорый、спешный (прогресс),3
急に,きゅうに,быстро、вдруг、внезапно、неожиданно、сразу,3
給料,きゅうりょう,зарплата、жалованье,3
器用,きよう,умелый、искусный、способный、ловкий,3
教科書,きょうかしょ,учебник,3
競技,きょうぎ,(спорт.) игра、матч、соревнования,3
行儀,ぎょうぎ,манеры、воспитанность,3
供給,きょうきゅう,поставка、снабжение,3
教師,きょうし,учитель、преподаватель,3
教授,きょうじゅ,преподавание、обучение、профессор,3
強調,きょうちょう,подчеркивание、акцентирование、устойчивое состояние,3
共通,きょうつう,общность、общий、одинаковый,3
共同,きょうどう,сотрудничество、партнерство、объединение,3
恐怖,きょうふ,страх、боязнь,3
協力,きょうりょく,сотрудничество、взаимодействие、помощь,3
強力,きょうりょく,сила、мощь,3
許可,きょか,разрешение、санкция、лицензия,3
局,きょく,управление、бюро、департамент,3
巨大,きょだい,огромный、гигантский,3
嫌う,きらう,не любить、избегать、питать отвращение,3
霧,きり,туман,3
切れ,きれ,кусок、ломоть、клочок,3
切れる,きれる,быть острым、быть порезанным、прерываться、износиться,3
記録,きろく,запись、протокол、регистрация、рекорд,3
議論,ぎろん,спор、полемика、аргумент、точка зрения,3
金,きん,золото、деньги,3
銀,ぎん,серебро,3
禁煙,きんえん,не курить! запрет на курение,3
金額,きんがく,сумма денег,3
金庫,きんこ,сейф、касса、фонд,3
禁止,きんし,запрещение、запрет、бан,3
金銭,きんせん,деньги,3
金属,きんぞく,металл,3
近代,きんだい,современность、наши дни,3
緊張,きんちょう,напряжение、напряженность,3
筋肉,きんにく,мышцы、мускулы,3
金融,きんゆう,денежное обращение、финансовый рынок、банковская деятельность,3
金曜,きんよう,(сокр.) пятница,3
句,く,предложение、фраза、стихотворная строка,3
食う,くう,(муж.、разг.) есть、кушать,3
偶然,ぐうぜん,случайность,3
臭い,くさい,зловонный、вонючий、подозрительный,3
鎖,くさり,цепь,3
腐る,くさる,гнить、протухать、скисать、портиться,3
癖,くせ,дурная привычка、манера、склонность,3
管,くだ,труба、трубка,3
具体,ぐたい,конкретность、материал,3
下さる,くださる,(уваж.) давать,3
下り,くだり,спуск、поезд из столицы,3
苦痛,くつう,боль、страдание,3
,ぐっすり,быстро и крепко засыпать (ономат.),3
区別,くべつ,разница、различие、классификация,3
組,くみ,группа、класс、команда、множество,3
組合,くみあい,ассоциация、(проф)союз、объединение,3
組む,くむ,составлять、собирать、организовывать (группу)、объединяться,3
曇,くもり,облачность、пасмурная погода、тень、хандра,3
位,くらい,ранг、чин、достоинство、положение、(мат.) десятичный разряд,3
暮らし,くらし,жизнь、существование、условия жизни,3
,クラシック,классика,3
暮らす,くらす,жить、существовать、проводить время,3
,グラス,стакан、рюмка,3
,グランド,великий、гланды、(элек.) земля,3
,クリーム,крем,3
繰り返す,くりかえす,повторять、делать снова,3
,クリスマス,Рождество,3
狂う,くるう,сойти с ума、помешаться、ломаться、выходить из строя,3
,グループ,группа,3
苦しい,くるしい,тяжелый、мучительный、причиняющий боль,3
苦しむ,くるしむ,страдать、мучиться,3
暮れ,くれ,заход солнца、сумерки、конец года или сезона,3
苦労,くろう,трудности、лишения、тяжелый труд、заботы,3
加える,くわえる,добавлять、прилагать、включать,3
詳しい,くわしい,подробный、детальный、точный、хорошо осведомленный,3
加わる,くわわる,присоединяться、участвовать、прибавляться、увеличиваться,3
訓,くん,кун (японское чтение иероглифа),3
軍,ぐん,армия、войска,3
軍隊,ぐんたい,армия、войска、части,3
訓練,くんれん,тренировка、обучение、подготовка,3
下,げ,низший разряд、худшее,3
計,けい,план、замысел,3
敬意,けいい,уважение、почтение,3
経営,けいえい,управление (предприятием)、менеджмент、эксплуатация,3
計画,けいかく,план、расчёт、проект、программа,3
景気,けいき,положение дел、настроение、состояние рынка、конъюнктура,3
経験,けいけん,опыт、практика,3
傾向,けいこう,тенденция、склонность、стремление,3
警告,けいこく,предупреждение、предостережение,3
計算,けいさん,счёт、расчёт、калькуляция、вычисление,3
掲示,けいじ,объявление,3
刑事,けいじ,уголовное дело、детектив、следователь,3
芸術,げいじゅつ,искусство,3
契約,けいやく,договор、соглашение、контракт,3
経由,けいゆ,через、проходить、проезжать через ч-л,3
,ケース,случай、дело、факт,3
,ゲーム,игра,3
劇,げき,драма、пьеса,3
劇場,げきじょう,театр、здание театра,3
化粧,けしょう,косметика、макияж,3
,けち,(разг.) скупость、жадность、невезение,3
結果,けっか,результат、эффект、последствия,3
欠陥,けっかん,недостаток、дефект、нехватка、дефицит,3
結局,けっきょく,в конце концов、в конечном счёте,3
決心,けっしん,решимость、решение,3
欠席,けっせき,неявка (на занятия)、отсутствие,3
決定,けってい,решение、постановление、определение,3
欠点,けってん,недостаток、изъян、слабое место、неуд оценка,3
月曜,げつよう,(сокр.) понедельник,3
結論,けつろん,вывод、заключение,3
煙,けむり,дым,3
券,けん,билет、купон、облигация、талон,3
県,けん,префектура,3
軒,けん,сч. суф. для зданий,3
見解,けんかい,мнение、взгляд,3
限界,げんかい,предел、граница、рамки,3
現金,げんきん,наличные деньги、меркантильный、корыстный,3
言語,げんご,язык、речь、слова,3
健康,けんこう,здоровье,3
検査,けんさ,проверка、осмотр、анализ,3
現在,げんざい,настоящее время,3
現実,げんじつ,действительность、реальность,3
現象,げんしょう,явление、феномен,3
現状,げんじょう,состояние、действительное положение,3
建設,けんせつ,строительство、сооружение、созидание,3
現代,げんだい,современность、современная эпоха,3
建築,けんちく,строительство、постройка、архитектура (здания),3
見当,けんとう,цель、предположение、оценка、направление、приблизительно,3
検討,けんとう,изучение、рассмотрение,3
現場,げんば,место происшествия、место действия,3
憲法,けんぽう,конституция,3
権利,けんり,(юр.) право,3
後,ご,(суф.) после、через,3
恋,こい,любовь、влюбленность,3
濃い,こい,густой、крепкий (о чае)、темный (о цвете),3
恋人,こいびと,возлюбленный、возлюбленная,3
幸運,こううん,счастливая судьба、удача、счастье,3
講演,こうえん,лекция、выступление、речь,3
効果,こうか,эффект、действие、результат,3
硬貨,こうか,монета、металлические деньги,3
高価,こうか,высокая цена,3
豪華,ごうか,роскошный、пышный,3
合格,ごうかく,соответствовать требованиям (экзамена)、выдерживать испытания,3
交換,こうかん,обмен、размен、клиринг,3
航空,こうくう,авиация、воздушное сообщение,3
光景,こうけい,зрелище、вид、пейзаж、картина,3
合計,ごうけい,итог、общая сумма,3
攻撃,こうげき,нападение、атака、наступление、критика,3
貢献,こうけん,вклад (во ч-л)、заслуги,3
広告,こうこく,реклама、объявление、афиша,3
交際,こうさい,знакомство、общение、отношение,3
後者,こうしゃ,последний,3
構成,こうせい,составление、формирование、состав、конструкция,3
高速,こうそく,высокоскоростной (в сочетаниях),3
行動,こうどう,действие、поступок、поведение,3
強盗,ごうとう,грабеж、грабитель、разбойник,3
幸福,こうふく,счастье,3
公平,こうへい,справедливость、беспристрастность,3
候補,こうほ,кандидатура、кандидат,3
考慮,こうりょ,обдумывание、принятие в расчет、учитывать,3
越える,こえる,превосходить、переходить、пересекать,3
,コーチ,тренировка、подготовка、тренер,3
,コード,код、шифр、шнур、провод、(мат.) хорда,3
氷,こおり,лёд,3
凍る,こおる,замерзать、покрываться льдом,3
,ゴール,цель、гол,3
誤解,ごかい,заблуждение、неправильное понимание、недоразумение,3
語学,ごがく,изучение языков、лингвистика,3
呼吸,こきゅう,дыхание,3
故郷,こきょう,родина、родные места,3
極,ごく,очень、крайне、весьма,3
国語,こくご,национальный язык、родной язык、японский язык,3
黒板,こくばん,классная доска,3
克服,こくふく,преодоление、преодолевать,3
国民,こくみん,народ、нация,3
穀物,こくもつ,зерно、зерновые,3
腰,こし,поясница、талия、бедра,3
個人,こじん,частное лицо、индивидуум、личный、персональный,3
越す,こす,переходить、перебираться、переезжать,3
国家,こっか,государство,3
国会,こっかい,парламент、национальное собрание、конгресс,3
国境,こっきょう,государственная граница,3
骨折,こっせつ,перелом (кости),3
小包,こづつみ,почтовая посылка、узелок、сверток,3
異なる,ことなる,отличаться、быть другим,3
諺,ことわざ,пословица、поговорка,3
断る,ことわる,отклонять、отказывать、извинять、предупреждать,3
粉,こな,порошок、мука,3
好み,このみ,вкус、предпочтение、мода,3
好む,このむ,любить、предпочитать,3
小麦,こむぎ,пшеница,3
小屋,こや,хибара、хижина、лачуга、сарай,3
,これら,эти,3
殺す,ころす,убивать、сдерживать (чувство),3
