Кандзи,Значение,On,Kun,Номер,Level
喜,радоваться,キ,よろこ-ぶ,536,3
期,период времени,キ・ゴ,―,537,3
官,чиновник; государственная служба,カン,―,538,3
更,обновлять,コウ,ー,539,3
暮,сумерки; конец дня; кончаться; смеркаться; жить; существовать; существование,ボ,く-らす・く-らし・くれ,540,3
並,средний; обычный; ставить в ряд; стоять в ряд; ряд; линия,ヘイ,な-み・なら-べる・なら-ぶ,541,2
抱,обхватывать; обнимать; держать на руках; держать в услужении,ホウ,だ-く・いだ-く・かか-える,542,3
曲,мелодия; сгибать; искривлять; сгибаться; искривляться,キョク,ま-げる・ま-がる,543,3
冷,холодный,レイ,つめ-たい・ひ-える・さ-める,544,3
単,простой; отдельный; единичный,タン,―,545,3
状,форма; положение; состояние; вид; послание,ジョウ,―,546,3
痛,боль,ツウ,いた-い・いた-み,547,3
薄,тонкий; бледный; слабый; разбавлять; уменьшаться,ハク,うす-い・うす-める・,548,2
橋,мост,キョウ,はし,549,2
裏,изнанка; оборотная сторона,リ,うら,550,2
求,требовать; искать,キュウ,もと-める,551,3
差,разница ,サ,—,552,3
保,сохранять; поддерживать; заботиться; ручаться,ホ,たも-つ,553,1
具,принадлежности; орудие; оборудовать чем-либо ,グ,そな-える,554,3
破,ломать; разрушать; преодолевать,ハ,やぶ-る・やぶ-れる,555,3
労,труд,ロウ,—,556,3
改,менять; переделывать,カイ,あらた-める・あらた-もる,557,2
散,разбрасывать; разбрасывать как попало; быть разбросанным; рассыпаться; осыпаться,サン,ち-らす・ち-らかす・ち-らかる・ち-る,558,3
末,конец; окончание,マツ・バツ,すえ,559,3
構,конструкция,コウ,かま-える・かま-う,560,3
途,путь,ト,―,561,3
米,рис,ベイ・マイ,こめ,562,3
岸,берег,ガン,きし,563,2
辺,окрестности; берег; граница,ヘン,あた-り,564,2
劇,театр; драма; пьеса; яростный; страстный,ゲキ,はげ-しい,565,2
緒,начало; шнур; тесьма; струна ,ショ,お,566,3
景,вид; пейзаж; состояние,ケイ,―,567,3
絵,картина,エ・カイ,―,568,3
刻,гравировать; время,コク,きざ-む,569,3
条,статья; параграф; пункт; линия,ジョウ,―,570,1
疑,сомневаться; подозревать,ギ,うたが-う,571,3
負,отрицательный; проигрывать; побеждать; нести на спине,フ,ま-ける・お-う,572,3
認,признавать; одобрять; разрешать,ニン,みと-める,573,3
殿,дворец; барин; господин,デン,との,574,2
丸,круг,ガン,まる・まる-い,575,2
案,план; идея,アン,―,576,1
応,реагировать; отвечать,オー,こたえる,577,1
評,оценка; критика; обсуждение,ヒョウ,―,578,1
腰,поясница,ヨウ,こし,579,2
商,торговать,ショウ,あきな-う,580,3
毛,волосы; шерсть,モウ,け,581,2
争,спор; борьба,ソウ,あらそ-う,582,3
未,пока еще не...; никогда еще,ミ,ま-だ・いま-だ,583,3
羽,перья; перо; крылья; сч. суф. птиц и кроликов,ウ,は・はね・~わ,584,2
恋,любовь; любимый; возлюбленный,レン,こい・こい-しい,585,2
髪,волосы (на голове),ハツ,かみ,586,3
伸,растягиваться,シン,の-びる・の-ばす,587,2
探,искать; разведывать,タン,さが-す・さぐ-る,588,3
玉,драгоценный камень; шар; мяч,ギョク,たま,589,2
介,посредничать,カイ,―,590,2
察,инспектировать; предполагать; догадка; сочувствие,サツ,さっ-する・さっ-し,591,3
比,сравнивать,ヒ,くら-べる,592,2
版,издание; выпуск; печать,ハン,―,593,2
歳,возраст; год,サイ,とし,594,3
煙,дым,エン,けむり・けむ-る・けむ-い,595,3
快,приятный; прекрасный,カイ,こころよ-い,596,2
福,удача; счастье,フク,―,597,3
団,объединение; группа,ダン・トン,―,598,2
優,превосходный; изящный; актёр,ユウ,やさ-しい・すぐ-れる,599,3
衣,одеяние,イ,ころも,600,2
叫,кричать,キョウ,さけ-ぶ,601,2
礼,поклон; вежливость; благодарность; церемония,レイ,―,602,3
岩,скала; горная порода,ガン,いわ,603,2
器,сосуд; инструмент; способности,キ,うつわ,604,1
願,просить; желать,ガン,ねが-う・ねが-い,605,3
昨,прошлый (о времени),サク,―,606,3
腕,рука (от плеча до кисти); умение,ワン,うで,607,2
投,бросать,トウ,な-げる,608,3
歴,биография; последовательно,レキ,―,609,2
候,климат; симптом,コウ,—,610,3
予,заранее,ヨ,あらかじ-め,611,3
再,Повторно,サイ・サ,ふたた-び,612,2
報,сообщение; известие; отплачивать,ホウ,むく-いる,613,3
筆,кисть,ヒツ,ふで,614,2
倒,падать; валиться,トウ,たお-れる・たお-す,615,3
眠,спать,ミン,ねむ-る・ねむ-い,616,3
留,останавливать; задерживать,リュウ,と-める・と-まる・とど-める,617,3
退,отступать,タイ,しりぞ-く・しりぞ-ける,618,3
演,выступать,エン,―,619,3
永,вечный,エイ,なが-い,620,2
州,провинция; мель,シュウ・ス,す,621,2
個,индивидуальный,コ・カ,―,622,2
約,сокращать; приблизительно; обещание,ヤク,―,623,3
囲,окружать,イ,かこ-む,624,2
床,постель; пол,ショウ,とこ・ゆか,625,2
罪,преступление; вина; кара,ザイ,つみ,626,3
仏,Будда,ブツ・フツ,ほとけ,627,2
坂,холм,ハン,さか,628,2
職,должность; профессия,ショク,―,629,3
育,растить; воспитывать,イク,そだ-つ・そだ-てる,630,3
骨,кость,コツ,ほね,631,2
仲,отношения; посредник,チュウ,なか,632,2
涙,слезы,ルイ,なみだ,633,2
済,окончиться; уплачивать; помогать,サイ,す-む,634,3
焼,жарить,ショウ,や-く,635,2
徒,последователь; ученик; группа людей; человек; напрасный,ト,いたずら,636,3
節,сустав; узел; мотив; отрезок времени; экономить,セツ,ー,637,1
枝,ветвь,シ,えだ,638,2
肩,плечо,ケン,かた,639,2
乱,беспорядок; злоупотребление,ラン,みだ-れる・みだ-す,640,2
陽,солнце; ян,ヨウ,―,641,3
善,добро; правильный,ゼン,よい,642,1
鼻,нос,ビ,はな,643,2
富,богатство,フ,と-み・と-む,644,3
警,полиция; предостерегать,ケイ,ー,645,3
香,аромат,コウ,かお-り,646,2
壁,стена,ヘキ,かべ,647,1
任,поручать; доверять; назначать,ニン,まか-せる,648,3
戻,возвращать,レイ,もど-る・もど-す,649,3
給,зарплата; снабжать,キュウ,―,650,3
怒,сердиться; гнев,ド,おこ-る・いか-り,651,3
星,звезда; небесное тело; мишень,セイ,ほし,652,2
周,окружность,シュウ,まわり,653,2
権,права; власть,ケン・ゴン,―,654,3
接,соединять; соприкасаться,セツ,つ-ぐ,655,2
竹,бамбук,チク,たけ,656,2
価,цена; ценность,カ,あたい,657,1
鉄,железо,テツ,ー,658,2
照,светить; сопоставлять; прицеливание,ショウ,て-る・て-らす,659,2
黄,жёлтый,コウ・オウ,き,660,2
登,взбираться,トウ・ト,のぼ-る,661,3
紅,алый,コウ・ク,べに・くれない,662,2
務,долг; обязанности; дела,ム,つと-める,663,3
板,доска; плита,ハン・バン,いた,664,2
局,офис,キョク,―,665,3
坊,мальчик; монах; суффикс лица,ボウ・ボッ,ー,666,0
布,ткань,フ,ぬの,667,2
祖,предок; основатель,ソ,―,668,3
毒,яд,ドク,―,669,2
帯,пояс; лента; носить при себе,タイ,おび・お-びる,670,2
婚,брак,コン,―,671,3
児,дитя,ジ・ニ,こ,672,2
刷,печатать,サツ,す-る,673,2
束,связка; пучок,ソク,たば,674,3
怖,страшный,フ,こわ-い,675,3
園,сад,エン,その,676,3
移,перемещаться; меняться,イ,うつ-る・うつ-す,677,2
普,обычный; всеобщий,フ,あまね-く,678,2
易,лёгкий; торговля; гадание,エキ・イ,やさ-しい ・やす-い ,679,3
境,граница; обстоятельства; состояние,キョウ,さかい,680,2
湯,горячая вода,トウ,ゆ,681,2
因,причина,イン,よ-る,682,3
枚,счётное слово для плоских предметов,マイ,―,683,2
積,нагромождать; оценка,セキ,つ-む,684,3
仮,временный; ненастоящий; предполагаемый,カ,かり,685,1
修,учиться; чинить,シュー,おさめる,686,1
章,глава (например; книги); значок; эмблема,ショウ,―,687,2
訪,посещать,ホウ,おとず-れる・たず-ねる,688,3
純,беспримесный; чистый,ジュン,じゅん-な,689,2
才,талант,サイ,―,690,3
荒,бурный; грубый; заброшенный,コウ,あら-い・あ-れる,691,2
欲,желание; жадность,ヨク,ほ-しい,692,3
印,знак; печать,イン,しるし,693,2
晴,ясная погода,セイ,は-れる・は-れ,694,3
沈,тонуть; погружаться,チン,しず-む・しず-める,695,2
払,платить; чистить; усилительный суффикс,フツ,はら-う,696,3
危,опасный,キ,あぶ-ない・あや-うい,697,3
固,твёрдый,コ,かた-い,698,2
尊,почитать; уважать,ソン,とうと-い,699,2
席,место для сидения; помещение; посещение,セキ,―,700,3
軒,край крыши; дом,ケン,のき,701,2
割,делить; разделять; уступать; соотношение величин,カツ,わり・わ-る・わ-れる ,702,3
捨,выбрасывать,シャ,す-てる,703,2
府,префектура; правительство,フ,―,704,2
皮,кожа,ヒ,かわ,705,2
群,группа; толпа,グン,むれ・む-れる,706,2
備,запасать; оборудовать; готовиться,ビ,そな-える,707,3
述,высказывать,ジュツ,の-べる,708,2
著,автор; примечательный,チョ,あらわ-す・いちじる-しい,709,2
令,приказ; вежливый префикс; указывающий на родство,レイ,―,710,2
装,наряд; упаковка; снаряжать,ソウ,よそお-う,711,2
速,быстрый,ソク,はや-い,712,3
迷,заблудиться; замешательство,メイ,まよ-う,713,3
選,выбирать,セン,えら-ぶ,714,3
値,величина; цена,チ,ね・あたい,715,3
各,каждый,カク,おのおの,716,2
灯,лампа; свет,トウ,—,717,2
温,тёплый; температура,オン,あたた-かい,718,2
技,навык,ギ,わざ,719,2
包,обёртывать; заворачивать,ホウ,つつ-む,720,2
承,соглашаться; слушать; наследовать,ショウ,うけたまわ-る・う-ける,721,2
資,средства; ресурсы; капитал,シ,―,722,3
亡,покойный; смерть,ボウ,ない・な-くす・な-くなる,723,3
勇,храбрость,ユウ,いさむ,724,2
増,увеличивать(ся); прибавлять(ся);,ゾウ ,ふ-える・ふ-やす ,725,3
互,взаимный ,ゴ,たが-い,726,3
傾,наклон; наклоняться; быть склонным; наклонять; склонять,ケイ ,かたむ-く・かたむ-ける,727,2
否,нет; отрицать,ヒ,いな・いや ,728,3
詰,набивать; упакованный; забита,キツ,つ-まる ・つ-む ,729,2
吸,сосать; курить; высасывать,キュウ,す-う,730,3
領,Территория ,リョウ,—,731,2
列,ряд,レツ,—,732,3
般,категория; род; вид; обычный ,ハン,—,733,2
量,количество; вес; объём; измерять,リョウ,はか-る,734,2
頂,вершина; пик; брать; получать; есть; пить,チョウ ,いただ-く・いただ-き,735,3
農,сельское хозяйство,ノウ,―,736,2
虫,насекомое,チュウ,むし,737,2
触,трогать; прикасаться; задевать; упоминать; распускать слухи,ショク,さわ-る・ふ-れる,738,2
復,восстановление; снова; возвращаться к чему-л; возвращать себе,フク,ー,739,2
完,совершенный; безупречный; завершение,カン,―,740,3
害,вред,ガイ,―,741,3
層,слой; пласт; прослойка,ソウ,,742,2
杯,чарка; чашка для сакэ; рюмка; сч. суффикс для выпитых рюмок ,ハイ,さかずき,743,3
到,прибытие,トウ,いたる,744,3
輪,колесо; круг; кольцо,リン,わ,745,2
荷,ноша; груз; багаж,カ,に,746,2
刺,колоть,シ,さ-す・さ-さる,747,2
迎,выходить на встречу; встречать; принимать у себя,ゲイ,むか-える,748,3
箱,коробка,ー,はこ,749,3
浅,мелкий,セン,あさ-い,750,2
貧,бедный; нуждающийся; скудный ,ヒン・ビン,まず-しい,751,3
暴,насилие; бушевать; буянить; раскрывать; разоблачать,ボウ,あば-れる,752,2
総,общий; все; всё; полностью; управлять; объединять,ソウ,すべ-て ,753,2
敬,уважать,ケイ・キョウ,うやま-う,754,2
閉,закрывать,ヘイ,と-じる・し-める,755,3
埋,зарывать; хоронить; быть зарытым; быть засыпанным,マイ ,う-める・う-まる,756,2
捕,ловить; схватить; арестовать; быть пойманным; быть охваченным,ホ,と-らえる・つか-まえる・と-らわれる・つか-まる・と-る,757,3
批,criticism,,,758,1
逆,наоборот; противоположность; идти против,ギャク,さから-う・さか-さ,759,2
臣,подданный,シン・ジン,―,760,2
級,уровень; ранг,キュウ,―,761,1
宅,Дом,タク,—,762,3
泉,родник,セン,いずみ,763,2
祭,фестиваль,サイ,まつ-り,764,2
了,конец; понимать,リョウ,―,765,2
依,зависеть от чего-л; прибегать к чему-л ,イ・エ,よ-る,766,2
恥,стыд,チ,はじ・は-じる・は-ずかしい ,767,3
珍,редкостный; необычный; диковинный,チン,めずら-しい ,768,2
隅,внутренний угол,グウ,すみ,769,2
植,сажать; сеять,ショク,う-える,770,2
基,foundation,,,771,1
健,здоровый,,,772,1
震,дрожать; трястись; землетрясение,シン,ふる-える,773,2
棒,палка; дубинка; шест; черта; линия,ボウ,—,774,2
額,сумма; количество; картина в раме; лоб,ガク,ひたい,775,2
砂,песок,サ,すな,776,2
展,expand,,,777,1
疲,уставать,ヒ,つか-れる,778,3
翌,следующий (день; месяц; год),ヨク,—,779,2
猫,кошка,ビョウ,ねこ,780,3
豊,обильный; богатый,ホウ,ゆた-か,781,2
犯,преступник; нарушать; совершать преступление,ハン,おか-す,782,3
被,подвергаться; надевать на голову; быть облитым; заслонять,ヒ,こうむ-る・かぶ-る・おお-う ,783,2
油,масло,ユ,あぶら,784,2
講,лекция ,コウ,—,785,2
順,согласие,ジュン ,—,786,2
憎,ненавидеть; ненавистный; противный; ненависть,ゾウ,にく-む・にく-い・にく-らしい・にく-しみ,787,2
辞,отставка; слово; речь; обращение; уходить в отставку,ジ,や-める,788,3
混,смешивать; подмешивать; быть смешанным,コン,ま-ぜる・ま-じる・ま-ざる,789,2
欠,недостача; зевота; не хватать; недоставать; нуждаться,ケツ,か-ける・か-く,790,3
姓,фамилия ,セイ,—,791,2
泊,ночевать; оставаться на ночь; оставлять на ночь; сч. суф. ночевок,ハク,と-まる・と-める,792,2
減,уменьшаться; стираться; уменьшать ,ゲン,へ-る・へ-らす,793,2
召,вызывать; звать; посылать за кем-л ,ショウ,め-す,794,2
袋,Мешок ,タイ,ふくろ,795,2
型,модель; форма,ケイ,かた,796,2
誌,журнал; запись; описание,シ,—,797,2
燃,гореть; пылать; зажигать,ネン,も-える・も-やす,798,2
舟,лодка,シュウ,ふね・ふな,799,2
陸,земля; суша,リク,—,800,2
救,спасение,キュウ,すく-う,801,1
誤,ошибка; промах; ошибаться; вводить в заблуждение,ゴ,あやま-り・あやま-る,802,3
勤,исполнять обязанности; служить; исполнять роль; годиться; справляться,キン ,つと-める・つと-まる,803,3
製,изготовлять; сделано в... ,セイ,—,804,1
険,крутой; опасный,ケン,けわ-しい,805,3
糸,нить,シ,いと,806,2
検,проверять; расследовать,ケン,しら-べる,807,1
希,надежда; редкий,キ,―,808,2
省,министерство; рефлексия; всматриваться в себя; исключать; сокращать ,セイ・ショウ,かえり-みる ・はぶ-く ,809,2
敗,неудача,ハイ,やぶ-れる,810,3
旧,старое; прошлое,キュウ,―,811,2
畳,Татами,ジョウ,たたみ・たた-む,812,2
責,ответственность; упрекать,セキ,せ-める,813,3
耕,земледение,コウ,たがや-す,814,2
司,управлять; ведать,シ,―,815,1
慣,привыкать; приучать,カン,な-れる・な-らす,816,3
編,вязать; составлять,ヘン,あ-む,817,2
査,проверять; расследовать,サ,—,818,2
党,политическая партия,トウ,—,819,2
除,устранять; убирать; исключать ,ジョ,のぞ-く,820,3
踊,танцевать; плясать; танец,ヨウ ,おど-る・おど-り,821,2
咲,цвести,ショウ,さく,822,2
設,учреждать; устраивать; оборудовать; иметь ребёнка ,セツ,もう-ける,823,2
歯,зуб,シ,は,824,3
机,стол; парта ,キ,つくえ,825,2
浴,купаться,ヨク,あ-びる,826,2
簡,простота,カン,―,827,2
適,надлежащий; соответствовать; подходить,テキ,かな-う,828,3
看,watch over,,,829,1
録,запись ,ロク,,830,2
費,расходы,ヒ,つい-やす,831,3
栄,расцвет; величие; процветать; блистать; сверкать,エイ,さか-える・は-える,832,2
延,растягивать; продлевать; простираться; тянуться; отсрочка платежа,エン,の-ばす ・の-びる,833,2
球,шар,キュウ,たま,834,3
甘,сладкий,カン,あま-い・あま-やかす,835,2
収,доход; получать; собирать; сжимать,シュウ,おさ-める,836,3
宝,сокровище,ホウ ,たから,837,2
泥,грязь; слякоть ,デイ,どろ,838,2
帽,головной убор; шляпа ,ボウ,—,839,2
辛,острый; горький; солёный; тяжёлый,シン ,から-い・つら-い,840,2
材,материал ,ザイ,—,841,2
詞,Слово,シ,ことば,842,2
規,Правило,キ,—,843,3
拝,поклоняться; молиться,イ,おが-む,844,2
換,обменивать; обмениваться; конвертироваться,カン,か-える ・か-わる,845,2
律,ритм; закон; правило,リツ,りっ-する,846,2
革,кожа; шкура; кожура; кора,カク,かわ,847,2
盗,красть; воровать; кража; воровство,トウ,ぬすむ,848,3
圧,давление; давить; сжимать ,アツ,—,849,2
努,стараться; прилагать усилия,ド,つと-める,850,3
導,вести; направлять; руководить ,ドウ,みちび-く,851,2
童,ребёнок,ドウ,―,852,2
宇,вселенная; мир; космос ,ウ,,853,2
柱,столб,チュウ,はしら,854,2
含,содержать ,ガン,ふく-む,855,2
防,предотвращать; обороняться; защищаться ,ボウ,ふせ-ぐ,856,2
算,считать,サン,―,857,2
操,maneuver,,,858,1
遅,поздний; медленный,チ,おく-れる,859,3
則,правила,ソク,―,860,2
畑,поле,―,はたけ・はた,861,3
干,сухой,カン,ほ-す,862,2
濃,густой; крепкий; темный,ノウ,こ-い,863,2
乳,молоко; грудь; вымя ,ニュウ,ちち・ち,864,2
財,финансы,ザイ,—,865,3
幼,младенец; младенческий; детский; незрелый ,ヨウ,おさな-い,866,2
練,тренироваться; практика,レン,ねる,867,2
専,специальный; исключительно,セン,もっぱ-ら,868,2
偶,время от времени; нечасто,グウ,たま,869,3
停,останавливаться,テイ,と-まる,870,2
届,заявлять; уведомлять; доставлять,カイ,とど-ける,871,2
鋭,острый,エイ,するど-い,872,2
授,даровать; обучать,ジュ,さずける,873,1
築,строить; сооружать,チク,きず-く,874,2
針,игла; шип; колючка; стрелка,シン,はり,875,2
略,сокращение; аббревиатура,リャク,ー,876,2
封,запечатывать; запечатывание,フウ・ホウ,ふう-じる,877,2
康,мир,,,878,1
汚,грязный,オ,けが-す・よご-す・きたな-い,879,2
狭,cramped,,,880,1
孫,внук,ソン,まご,881,2
緑,зелёный,リョク,みどり,882,2
厚,толстый (о книгах); добрый; сердечный,コウ,あつ-い,883,2
標,указатель,,,884,1
靴,обувь; ботинки,カ,くつ,885,3
拾,подбирать; находить,シュウ,ひろ-う,886,2
汗,пот ,カン ,あせ,887,2
粉,мука,フン,こ・こな,888,2
貨,Монета; деньги; товары,カ,—,889,2
械,хитроумное изобретение,カイ,—,890,2
悩,страдать; мучаться; мучительный,ノウ,なや-む・なや-ましい,891,2
卒,выпускаться,ソツ,—,892,2
祈,молитва; молиться,キ,いの-る・いの-り,893,2
占,гадать ,セン,し-める・うらな-う ,894,2
営,бизнес; дело; заниматься бизнесом; управлять,エイ,いとな-み・いとな-む,895,2
札,ярлык; бирка,サツ,ふだ,896,2
恵,favor,,,897,1
管,труба,カン,くだ,898,2
氷,лёд,ヒョウ,こおり,899,2
乾,сухой; сохнуть; сушить; осушать,カン・ケン,かわ-く・かわ-かす,900,2
偉,великий; выдающийся; замечательный; сильный,イ,えら-い,901,3
禁,запрет,キン,—,902,2
祝,праздновать; поздравлять,シュク,いわ-う,903,2
効,эффект,コウ,きく,904,2
巨,гигантский,キョ,―,905,2
湖,озеро,コ,みずうみ,906,2
較,contrast,カク・コウ,くら-べる,907,1
率,показатель ,ソツ・リツ,ひき-いる,908,1
整,приводить в порядок,セイ,ととのえる・ととのう,909,1
柔,мягкий; нежный,ジュウ,やわ-らかい,910,2
灰,пепел,カイ,はい,911,2
塔,башня ,トウ,—,912,2
賞,награда,ショウ,ほ-める,913,2
枯,засыхать; вянуть ,コ,か-れる,914,2
招,приглашать; звать; навлекать,ショウ,まね-く,915,3
麦,зерновые,バク,むぎ,916,2
塗,намазывать; красить,ト,ぬ-る・まみ-れる,917,2
塩,соль,エン,しお,918,2
超,сверх-; превышать; превосходить,チョウ,こ-える・こ-す,919,2
損,убыток; портить; ранить ,ソン ,そこ-なう・そこ-ねる,920,2
掘,копать; рыть; бурить,クツ,ほ-る,921,2
爆,взрыв,バク,は-ぜる,922,2
央,центр,オウ,―,923,2
脳,Мозг,ノウ,—,924,2
課,раздел,カ,—,925,2
暖,warmth,,,926,1
協,сотрудничество,キョウ,—,927,2
肌,кожа; голое тело,キ,はだ,928,2
倍,Двойной,バイ,―,929,2
忙,занятой,ボウ,いそが-しい,930,3
宙,SKY,,,931,1
匹,сч. суф. для мелких животных,ヒツ,ひき,932,2
替,обмен,タイ,か-える,933,2
賢,мудрость; умный; мудрый ,ケン,かしこ-い,934,2
臓,внутренности; кишечник; кишка; кишки; потроха,ゾウ,―,935,2
季,сезон,キ,—,936,2
測,измерять; мерить; взвешивать ,ソク,はか-る,937,2
符,ярлык; знак; талон; билет; метка; амулет,フ,—,938,2
委,поручать; доверять,イ,ゆだ-ねる,939,2
紹,знакомить; представлять,ショウ,—,940,2
捜,искать; разыскивать,ソウ,さが-す,941,2
補,восполнять; пополнять; возмещать; компенсировать ,ホ ,おぎな-う,942,2
競,состязаться; соперничать,キョウ,きそ-う,943,2
拡,Расширять,,,944,1
複,двойной; сложный,フク,—,945,2
担,нести (на плече); иметь во главе; подшутить; нести обязанности ,タン,かつ-ぐ・にな-う,946,2
曇,пасмурный; быть пасмурным; облачность ,ドン,くも-る・くも-り,947,2
双,пара; оба ,ソウ,ふた,948,2
採,добывать; брать ,サイ,と-る,949,2
涼,прохладный; свежий; наслаждаться прохладой ,リョウ,すず-しい・すず-む,950,2
港,порт; гавань,コウ,みなと,951,3
炭,уголь,タン,すみ,952,2
皿,тарелка,ベイ,さら,953,2
環,ring,,,954,1
磨,шлифовать; полировать; чистить (зубы) ,マ,みが-く,955,2
漁,рыбачить,ギョ・リョウ,あさ-る,956,2
訓,наставление; поучение; японское чтение иероглифа,クン,—,957,2
菓,сладости ,カ,—,958,2
綿,хлопок; вата ,メン,わた,959,2
掃,sweep,,,960,2
冊,том; книга,サツ,―,961,2
昇,повышение; взбираться; получать повышение,ショウ,のぼ-る,962,2
預,депозит; отдавать на хранение; брать на хранение,ヨ,あず-ける・あず-かる,963,2
税,налог; пошлина ,ゼイ ,—,964,2
幅,ширина ,フク,はば,965,2
刊,издание; выпуск,カン,—,966,2
域,район; пределы; границы; стадия; уровень ,イキ,—,967,2
銅,медь,ドウ,ー,968,2
筒,труба; муфта,トウ,つつ,969,2
絡,зацепляться; обвиваться; цепляться; обвивать,ラク ,から-む・から-まる・から-める,970,2
署,контора; полицейский участок; подпись,しょ,—,971,2
畜,скотина; домашние животные ,チク,ー,972,2
賃,fare,チン・ジン・ニン,やと-う,973,1
伺,осведомляться; посещать; навещать ,シ,うかが-う,974,2
泳,плавать,エイ,およぐ,975,3
貝,ракушка,バイ,かい,976,2
欧,Европа,オウ,ー,977,2
蒸,варить на пару; быть душным; становиться затхлым; преть,ジョウ,む-す・む-らす・む-れる,978,2
肯,соглашаться; уступать,コウ,ー,979,2
齢,возраст,レイ,とし,980,2
賛,Одобрять;  хвалить; помогать,サン,たた-える,981,3
況,положение,キョウ,―,982,2
鈍,Тусклый; медленный; тупой,ドン,にぶ-い・にぶ-る,983,2
喫,Есть; поглощать; дымить; пить,キツ,の-む,984,2
航,Управлять; парус; полет,コウ,ー,985,2
贈,Подарок; посылать; дарить; присуждать,ソウ・ゾウ,おく-る,986,2
膚,Кожа; тело; зерно; текстура; расположение,フ,はば,987,2
粒,Злаки; капли; счетный суффикс для мелких частиц,リュウ,つぶ,988,2
均,Уровень; среднее число,キン,なら-す,989,2
卵,Яйцо; икра,ラン,たまご,990,2
療,Исцелять; лечить,リョウ,ー,991,2
凍,Замерзший; застывший,トウ,こお-る・こご-える・し-みる,992,2
雇,Нанимать,コ,やと-う,993,2
滴,Капля,テキ,したた-る・しずく,994,2
液,Жидкость; сок; выделения,エキ,ー,995,2
輸,Транспорт; посылать,ユ・シュ,ー,996,2
績,Разрабатывать,セキ,ー,997,2
郵,Почта; почтовая остановка,ユウ,ー,998,2
溶,Растворять; растапливать,ヨウ,と-ける・と-かす・と-く,999,2
湿,Влажный; мокрый; сырой,シツ・シュウ,しめ-る・しめ-らす,1000,2
胃,желудок,イ,ー,1001,2
硬,Жесткий; твердый,コウ,かた-い,1002,2
庁,Правительственный служба,チョウ・テイ,ー,1003,2
脂,Жир; канифоль; деготь,シ,あぶら,1004,2
副,вице-,フク,ー,1005,2
秒,секунда,ビョウ,―,1006,2
貯,экономить; хранить,チョ,た-める・たくわ-える,1007,2
郊,Окраина; пригород; сельская местность,コウ,ー,1008,2
挟,между,チョウ・ショウ,はさ-む・はさ-める・わきばさ-む・さしはさ-む,1009,2
鉱,Минерал; руда,コウ,あらがね,1010,2
沸,Бурлить; кипеть,フツ,わ-く・わ-かす,1011,2
湾,Залив; бухта,ワン,いりえ,1012,2
零,Ноль; пролить; излишек,レイ,こぼす・こぼれる・ぜろ,1013,2
濯,Мыть; полоскать,タク,すす-ぐ・ゆす-ぐ,1014,2
軟,мягкий,ナン,やわ-らか・やわ-らかい,1015,2
億,сто миллионов,オク,ー,1016,2
募,Вербовать; набирать,ボ,つの-る,1017,2
兆,триллион; предзнаменование; признак,チョウ,きざ-し・きざ-す,1018,2
燥,иссушать,ソウ,ー,1019,2
券,Билет,ケン,ー,1020,2
駐,Проживать; постоялец,チュウ,ー,1021,2
販,Маркетинг; продажа,ハン,ー,1022,2
貿,Торговля; обмен,ボウ,ー,1023,2
僕,я (исп. мальчиками и юношами),ボク,―,1024,1
郎,молодой мужчина,ロー,―,1025,1
眼,глаза,ガン,まなこ,1026,1
士,воин; благородный муж,シ,―,1027,1
吉,удача,キチ・キツ,―,1028,1
我,эго; я,ガ,われ,1029,1
義,справедливость; долг; честь; принцип; смысл,ギ,―,1030,1
如,подобно; усилительный суффикс,ジョ・ニョ,ー,1031,1
氏,род; фамилия,シ,うじ,1032,1
誰,кто,―,だれ,1033,0
頃,время,―,ころ,1034,0
又,опять,―,また,1035,1
姿,облик,シ,すがた,1036,1
振,трясти,シン,ふる,1037,1
松,сосна,ショー,まつ,1038,1
俺,я (исп. мужчинами),―,おれ,1039,0
貴,ценный; знатный,キ,とうとい・たっとい,1040,1
井,колодец,セイ,い,1041,1
宮,дворец; храм; принц; принцесса,キュー・グー,みや,1042,1
影,тень; силуэт,エイ,かげ,1043,1
衛,защита,エイ,―,1044,1
態,состояние,タイ,―,1045,1
離,отделяться; расставаться,リ,はなれる,1046,1
掛,вешать; усилительный суффикс; суффикс незаконченности,カイ・ケイ,か-かる・か-かり・か-ける・か-け,1047,3
素,хим. элемент; основа; простой; усилительный префикс,ソ・ス,―,1048,1
敷,стелить,フ,しく,1049,1
江,бухта,コー,え,1050,1
藤,глициния,トー,ふじ,1051,1
幾,сколько; как,キ,ー,1052,3
驚,удивляться,キョー,おどろく,1053,1
那,что; употребляется фонетически,ナ,―,1054,1
為,делать,イ,―,1055,1
昭,сиять,ショー,―,1056,1
奴,парень; слуга,ド,やつ,1057,1
怪,подозрительный; загадочный,カイ,あやしい,1058,1
至,наиболее,シ,いたる,1059,1
房,камера; помещение,ボー,ふさ,1060,1
詩,стих,シ,―,1061,1
従,следовать; подчиняться,ジュー,したがう,1062,1
里,деревня; родной город,リ,さと,1063,0
妙,таинственный; чудесный; странный,ミョー,―,1064,1
傍,сбоку; наблюдатель,ボー,かたわら,1065,1
己,сам,コ・キ,おのれ,1066,1
沢,болото; обилие,タク,さわ,1067,1
徳,нравственность; добродетель,トク,―,1068,1
黙,молчать,モク,だまる,1069,1
派,группа; секта; школа; командировка,ハ,―,1070,1
